bookingId,user_id,flightId,bookingDate,statusId_x,name,email,phone,total_payment,last_payment_date,total_claim_amount,claim_count,origin,destination,departureTime,arrivalTime,statusId_y,claim_ratio,days_to_departure
1,379,190,2025-06-13 21:36:09.717520,8,Christopher Nguyen,user379@example.com,(614)586-6787x479,377.31,2025-06-14 17:36:09.717520,0.0,0.0,Rome,Istanbul,2024-12-04 02:23:09.717520,2024-12-04 09:34:09.717520,2,0.0,-192
2,92,135,2025-07-14 00:36:09.717520,8,Christopher Soto,user92@example.com,787-898-1583x2206,143.24,2025-07-16 08:36:09.717520,247.66,1.0,Madrid,London,2025-01-08 02:26:09.717520,2025-01-08 07:47:09.717520,2,1.7289863166713206,-187
3,551,289,2024-12-31 14:36:09.717520,8,Jorge Rogers,user551@example.com,(477)253-7007,210.08,2025-01-01 13:36:09.717520,0.0,0.0,New York,Rome,2025-11-12 10:19:09.717520,2025-11-12 15:58:09.717520,2,0.0,315
4,199,44,2025-11-07 21:36:09.717520,8,Steven Taylor,user199@example.com,(303)979-3713x85639,735.21,2025-11-09 18:36:09.717520,0.0,0.0,Berlin,Toronto,2024-12-05 08:28:09.717520,2024-12-05 14:27:09.717520,2,0.0,-338
5,848,498,2025-09-27 17:36:09.717520,8,Marie Raymond,user848@example.com,(717)521-0099x354,754.43,2025-09-29 09:36:09.717520,0.0,0.0,Baku,Dubai,2025-01-13 20:28:09.717520,2025-01-14 04:40:09.717520,1,0.0,-257
6,793,420,2025-08-24 23:36:09.717520,10,Robert House,user793@example.com,460.636.1891x414,766.21,2025-08-25 19:36:09.717520,0.0,0.0,Istanbul,Baku,2025-03-20 01:40:09.717520,2025-03-20 05:17:09.717520,2,0.0,-158
7,973,294,2025-03-31 01:36:09.717520,8,Antonio Figueroa,user973@example.com,(394)972-5973,52.59,2025-04-01 14:36:09.717520,0.0,0.0,New York,Berlin,2025-09-14 08:53:09.717520,2025-09-14 11:59:09.717520,2,0.0,167
8,809,463,2025-11-30 11:36:09.717520,8,Jill Dixon,user809@example.com,8346453735,301.29,2025-12-01 09:36:09.717520,0.0,0.0,Berlin,Rome,2025-02-27 11:01:09.717520,2025-02-27 19:36:09.717520,3,0.0,-277
9,1059,410,2025-09-19 07:36:09.717520,11,Christopher Lopez,user1059@example.com,+1-931-255-6885x7855,522.63,2025-09-20 06:36:09.717520,0.0,0.0,Rome,Paris,2025-11-11 23:07:09.717520,2025-11-12 02:43:09.717520,2,0.0,53
10,302,62,2025-07-17 15:36:09.717520,10,Melanie Turner DDS,user302@example.com,258.498.2157,643.31,2025-07-20 00:36:09.717520,876.86,1.0,Madrid,Rome,2025-06-25 08:54:09.717520,2025-06-25 12:06:09.717520,2,1.363044255491132,-23
11,343,498,2025-03-18 16:36:09.717520,8,Barbara Fowler,user343@example.com,001-513-388-0662,63.88,2025-03-19 22:36:09.717520,0.0,0.0,Baku,Dubai,2025-01-13 20:28:09.717520,2025-01-14 04:40:09.717520,1,0.0,-64
12,868,41,2025-11-14 23:36:09.717520,8,Lauren Jones,user868@example.com,001-301-326-5790,371.02,2025-11-16 02:36:09.717520,0.0,0.0,London,Rome,2025-07-22 21:35:09.717520,2025-07-22 23:35:09.717520,2,0.0,-116
13,303,428,2025-09-30 18:36:09.717520,8,Paul Cox,user303@example.com,214-413-2284x340,672.8,2025-09-30 18:36:09.717520,0.0,0.0,New York,Berlin,2025-11-18 11:30:09.717520,2025-11-18 16:43:09.717520,2,0.0,48
14,138,45,2025-06-17 03:36:09.717520,8,Daniel Fisher,user138@example.com,(850)259-8715x3146,193.18,2025-06-17 13:36:09.717520,0.0,0.0,London,Rome,2025-01-28 14:23:09.717520,2025-01-28 17:40:09.717520,2,0.0,-140
15,668,439,2025-04-21 02:36:09.717520,8,Tracy Aguilar,user668@example.com,994-589-2918,712.28,2025-04-22 23:36:09.717520,0.0,0.0,London,Istanbul,2024-12-07 08:44:09.717520,2024-12-07 09:54:09.717520,2,0.0,-135
16,26,403,2025-11-24 05:36:09.717520,8,Tiffany Thornton,user26@example.com,986-336-9579,250.45,2025-11-26 12:36:09.717520,0.0,0.0,Baku,New York,2025-09-05 17:03:09.717520,2025-09-05 19:50:09.717520,3,0.0,-80
17,860,58,2025-06-30 14:36:09.717520,8,Paul Hunter PhD,user860@example.com,001-840-466-6359,442.04,2025-07-01 05:36:09.717520,0.0,0.0,Berlin,Baku,2025-01-25 06:03:09.717520,2025-01-25 12:49:09.717520,3,0.0,-157
18,1205,299,2025-01-20 13:36:09.717520,8,David Anderson,user1205@example.com,543.242.9115x8320,611.42,2025-01-21 05:36:09.717520,0.0,0.0,New York,Baku,2025-02-28 00:32:09.717520,2025-02-28 04:31:09.717520,5,0.0,38
19,207,403,2025-04-26 03:36:09.717520,10,Amanda Tucker,user207@example.com,2433432622,499.06,2025-04-28 09:36:09.717520,0.0,0.0,Baku,New York,2025-09-05 17:03:09.717520,2025-09-05 19:50:09.717520,3,0.0,132
20,842,136,2025-06-15 06:36:09.717520,8,Alexis Garza,user842@example.com,811-743-8079,660.4,2025-06-16 16:36:09.717520,0.0,0.0,Madrid,Istanbul,2025-05-18 08:30:09.717520,2025-05-18 15:50:09.717520,2,0.0,-28
21,1248,243,2024-12-19 15:36:09.717520,8,Daniel Perez,user1248@example.com,858.946.5915,157.19,2024-12-20 17:36:09.717520,0.0,0.0,Dubai,Baku,2025-05-30 06:03:09.717520,2025-05-30 11:43:09.717520,6,0.0,161
22,295,317,2025-10-08 07:36:09.717520,8,Karen Johnson,user295@example.com,001-610-611-0896x66779,145.67,2025-10-08 13:36:09.717520,388.65,1.0,Baku,Berlin,2025-09-22 12:38:09.717520,2025-09-22 20:00:09.717520,3,2.668016750188783,-16
23,80,203,2025-05-19 08:36:09.717520,8,Joseph Villanueva,user80@example.com,(211)840-9031x99082,148.07,2025-05-20 11:36:09.717520,196.77,1.0,Madrid,New York,2025-09-24 04:26:09.717520,2025-09-24 05:54:09.717520,5,1.3288984939555617,127
24,974,472,2025-04-16 21:36:09.717520,8,Paige Thomas,user974@example.com,001-470-919-1864x846,545.4,2025-04-19 15:36:09.717520,0.0,0.0,New York,Paris,2025-10-19 04:26:09.717520,2025-10-19 05:50:09.717520,3,0.0,185
25,621,160,2025-04-23 01:36:09.717520,10,Kelly Porter,user621@example.com,376.800.1539,220.98,2025-04-23 17:36:09.717520,0.0,0.0,Istanbul,New York,2025-10-11 23:53:09.717520,2025-10-12 01:37:09.717520,2,0.0,171
26,202,498,2025-03-26 14:36:09.717520,8,Natasha Pierce,user202@example.com,(241)793-7767,377.7,2025-03-27 04:36:09.717520,0.0,0.0,Baku,Dubai,2025-01-13 20:28:09.717520,2025-01-14 04:40:09.717520,1,0.0,-72
27,908,397,2025-05-13 18:36:09.717520,8,Vincent Green,user908@example.com,+1-907-807-1153x07459,754.29,2025-05-16 10:36:09.717520,0.0,0.0,Berlin,London,2025-03-05 21:29:09.717520,2025-03-06 06:08:09.717520,1,0.0,-69
